

[2022-07-07 12:49:12] load sample meta data file
[2022-07-07 12:49:25] 	path: /space/mindds/1/projects/ThurmanRNASeq/scripts/20211129_Wheeler_Muscle_stem_cell_transcriptome/sampleMeta.csv 
[2022-07-07 13:08:03] 	 processing sample: MB842_S5 
[2022-07-07 13:08:03] 	 processing sample: MB846_S6 
[2022-07-07 13:08:03] 	 processing sample: MB857_S11 
[2022-07-07 13:08:03] 	 processing sample: MB858_S12 
[2022-07-07 13:08:08] 	exported transcript level expression tpm 
[2022-07-07 13:08:10] 	 processing sample: BE581_S3 
[2022-07-07 13:08:10] 	 processing sample: BE585_S4 
[2022-07-07 13:08:10] 	 processing sample: BE616_S9 
[2022-07-07 13:08:10] 	 processing sample: BE617_S10 
[2022-07-07 13:08:10] 	 processing sample: HM144_S1 
[2022-07-07 13:08:10] 	 processing sample: HM148_S2 
[2022-07-07 13:08:10] 	 processing sample: HM198_S7 
[2022-07-07 13:08:10] 	 processing sample: HM199_S8 
[2022-07-07 13:08:12] 	 processing sample: MB842_S5 
[2022-07-07 13:08:12] 	 processing sample: MB846_S6 
[2022-07-07 13:08:12] 	 processing sample: MB857_S11 
[2022-07-07 13:08:12] 	 processing sample: MB858_S12 
[2022-07-07 13:08:16] 	exported transcript level expression rawcounts 
[2022-07-07 13:08:56] 	 processing sample: BE581_S3 
[2022-07-07 13:08:56] 	 processing sample: BE585_S4 
[2022-07-07 13:08:56] 	 processing sample: BE616_S9 
[2022-07-07 13:08:56] 	 processing sample: BE617_S10 
[2022-07-07 13:08:56] 	 processing sample: HM144_S1 
[2022-07-07 13:08:56] 	 processing sample: HM148_S2 
[2022-07-07 13:08:56] 	 processing sample: HM198_S7 
[2022-07-07 13:08:56] 	 processing sample: HM199_S8 
[2022-07-07 13:08:56] 	 processing sample: MB842_S5 
[2022-07-07 13:08:56] 	 processing sample: MB846_S6 
[2022-07-07 13:08:56] 	 processing sample: MB857_S11 
[2022-07-07 13:08:57] 	 processing sample: MB858_S12 
[2022-07-07 13:09:00] 	exported transcript level expression tpm 
[2022-07-07 13:09:03] 	 processing sample: BE581_S3 
[2022-07-07 13:09:03] 	 processing sample: BE585_S4 
[2022-07-07 13:09:03] 	 processing sample: BE616_S9 
[2022-07-07 13:09:03] 	 processing sample: BE617_S10 
[2022-07-07 13:09:03] 	 processing sample: HM144_S1 
[2022-07-07 13:09:03] 	 processing sample: HM148_S2 
[2022-07-07 13:09:03] 	 processing sample: HM198_S7 
[2022-07-07 13:09:03] 	 processing sample: HM199_S8 
[2022-07-07 13:09:03] 	 processing sample: MB842_S5 
[2022-07-07 13:09:03] 	 processing sample: MB846_S6 
[2022-07-07 13:09:03] 	 processing sample: MB857_S11 
[2022-07-07 13:09:03] 	 processing sample: MB858_S12 
[2022-07-07 13:09:08] 	exported transcript level expression rawcounts 
[2022-07-07 13:09:30] 	 processing sample: BE581_S3 
[2022-07-07 13:09:30] 	 processing sample: BE585_S4 
[2022-07-07 13:09:30] 	 processing sample: BE616_S9 
[2022-07-07 13:09:30] 	 processing sample: BE617_S10 
[2022-07-07 13:09:30] 	 processing sample: HM144_S1 
[2022-07-07 13:09:30] 	 processing sample: HM148_S2 
[2022-07-07 13:09:30] 	 processing sample: HM198_S7 
[2022-07-07 13:09:30] 	 processing sample: HM199_S8 
[2022-07-07 13:09:30] 	 processing sample: MB842_S5 
[2022-07-07 13:09:30] 	 processing sample: MB846_S6 
[2022-07-07 13:09:30] 	 processing sample: MB857_S11 
[2022-07-07 13:09:30] 	 processing sample: MB858_S12 
[2022-07-07 13:09:32] 	exported gene level expression rawcounts 
[2022-07-07 13:57:17] 	 processing sample: BE581_S3 
[2022-07-07 13:57:17] 	 processing sample: BE585_S4 
[2022-07-07 13:57:17] 	 processing sample: BE616_S9 
[2022-07-07 13:57:17] 	 processing sample: BE617_S10 
[2022-07-07 13:57:17] 	 processing sample: HM144_S1 
[2022-07-07 13:57:17] 	 processing sample: HM148_S2 
[2022-07-07 13:57:17] 	 processing sample: HM198_S7 
[2022-07-07 13:57:17] 	 processing sample: HM199_S8 
[2022-07-07 13:57:17] 	 processing sample: MB842_S5 
[2022-07-07 13:57:17] 	 processing sample: MB846_S6 
[2022-07-07 13:57:17] 	 processing sample: MB857_S11 
[2022-07-07 13:57:17] 	 processing sample: MB858_S12 
[2022-07-07 13:57:19] 	exported gene level expression rawcounts 
[2022-07-07 13:57:23] 	 processing sample: BE581_S3 
[2022-07-07 13:57:23] 	 processing sample: BE585_S4 
[2022-07-07 13:57:23] 	 processing sample: BE616_S9 
[2022-07-07 13:57:23] 	 processing sample: BE617_S10 
[2022-07-07 13:57:23] 	 processing sample: HM144_S1 
[2022-07-07 13:57:23] 	 processing sample: HM148_S2 
[2022-07-07 13:57:23] 	 processing sample: HM198_S7 
[2022-07-07 13:57:23] 	 processing sample: HM199_S8 
[2022-07-07 13:57:23] 	 processing sample: MB842_S5 
[2022-07-07 13:57:23] 	 processing sample: MB846_S6 
[2022-07-07 13:57:23] 	 processing sample: MB857_S11 
[2022-07-07 13:57:23] 	 processing sample: MB858_S12 
[2022-07-07 13:57:25] 	exported gene level expression tpm 
